City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Saint-Joseph,RE,-21.3667,55.6167,79.18,77,54,12.44,broken clouds
113,Luanda,AO,-8.8368,13.2343,80.11,79,99,13.15,overcast clouds
114,Ixtapa,MX,20.7,-105.2,70.83,64,0,6.91,clear sky
115,Okhotsk,RU,59.3833,143.3,15.15,76,100,18.41,overcast clouds
116,Atuona,PF,-9.8,-139.0333,76.87,79,9,12.1,light rain
117,Isangel,VU,-19.55,169.2667,77.61,93,100,11.16,overcast clouds
118,Katangli,RU,51.7102,143.2326,-7.55,93,83,8.81,broken clouds
119,Ca Mau,VN,9.1769,105.15,75.38,87,98,4.43,overcast clouds
120,Narsaq,GL,60.9167,-46.05,8.82,61,100,6.17,overcast clouds
121,Sitka,US,57.0531,-135.33,35.49,80,100,9.22,light snow
122,Priiskovyy,RU,51.9333,116.6333,-22.54,100,14,1.12,few clouds
123,Louga,RU,58.7372,29.8453,27.86,96,100,7.74,snow
124,Clyde River,CA,70.4692,-68.5914,-14.57,70,100,10.36,light snow
125,Nchelenge,ZM,-9.3451,28.734,69.04,88,100,2.3,overcast clouds
126,Tshikapa,CD,-6.4167,20.8,75.78,84,53,2.28,broken clouds
127,Ukholovo,RU,53.7929,40.4892,25.77,94,100,15.46,light snow
128,Eyl,SO,7.9803,49.8164,75.76,74,100,16.67,overcast clouds
129,Capao Da Canoa,BR,-29.7456,-50.0097,76.01,63,25,15.55,scattered clouds
130,Mizdah,LY,31.4451,12.9801,49.37,61,31,10.18,scattered clouds
131,Grindavik,IS,63.8424,-22.4338,28.35,68,75,37.98,heavy snow
132,Vardo,NO,70.3705,31.1107,26.35,86,100,16.11,light shower snow
133,Verkhnetulomskiy,RU,68.6073,31.7962,-2.07,98,97,3.42,overcast clouds
134,Ghogha,IN,21.6833,72.2833,72.21,41,0,3.02,clear sky
135,Chistogorskiy,RU,53.9835,87.3843,1.27,100,47,1.59,scattered clouds
136,Samarai,PG,-10.6167,150.6667,80.55,80,100,10.76,overcast clouds
137,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,80,80,13.69,broken clouds
138,Kerema,PG,-7.9631,145.7785,76.26,84,100,1.52,overcast clouds
139,Panguna,PG,-6.3164,155.4848,68.92,96,100,2.04,light rain
140,Grand Gaube,MU,-20.0064,57.6608,81.0,73,42,5.99,scattered clouds
141,Mahebourg,MU,-20.4081,57.7,80.89,78,75,13.8,broken clouds
142,Sabang,ID,5.8933,95.3214,81.99,72,32,7.05,scattered clouds
143,Torbay,CA,47.6666,-52.7314,50.77,94,100,32.21,light intensity drizzle
144,Sambava,MG,-14.2667,50.1667,79.32,86,87,14.14,light rain
145,Kodiak,US,57.79,-152.4072,24.31,68,20,13.8,few clouds
146,Bathsheba,BB,13.2167,-59.5167,81.21,69,20,17.27,few clouds
147,Akdepe,TM,42.0551,59.3788,30.29,74,58,10.18,broken clouds
148,Sinnamary,GF,5.3833,-52.95,80.78,74,66,9.48,broken clouds
149,Srednekolymsk,RU,67.45,153.6833,-22.81,99,100,4.94,overcast clouds
150,Saiha,IN,22.4833,92.9667,47.32,68,0,3.44,clear sky
151,Royan,FR,45.6285,-1.0281,48.24,91,98,6.82,overcast clouds
152,Warrington,GB,53.3925,-2.5802,46.9,74,40,4.0,scattered clouds
153,Anadyr,RU,64.75,177.4833,-17.9,75,40,4.0,mist
154,Yanam,IN,16.7333,82.2167,67.44,94,3,0.83,clear sky
155,San Cristobal,VE,7.7669,-72.225,68.18,38,90,3.51,overcast clouds
156,Kingaroy,AU,-26.5333,151.8333,69.84,100,100,3.44,overcast clouds
157,Arkhipo-Osipovka,RU,44.37,38.52,42.58,76,100,22.39,overcast clouds
158,Maniitsoq,GL,65.4167,-52.9,13.68,81,100,12.66,light snow
159,Marsa Matruh,EG,31.3525,27.2453,52.0,87,75,12.66,broken clouds
160,Egvekinot,RU,66.3167,-179.1667,-0.67,64,47,7.11,scattered clouds
161,Kalengwa,ZM,-13.4659,25.0027,66.69,95,96,4.54,light rain
162,Wanaka,NZ,-44.7,169.15,59.11,81,8,1.01,clear sky
163,Cape Town,ZA,-33.9258,18.4232,81.1,58,0,8.01,clear sky
164,Bardiyah,LY,31.7561,25.0865,56.16,67,91,28.9,overcast clouds
165,Miles City,US,46.4083,-105.8406,40.51,69,0,8.05,clear sky
166,Namalenga,TZ,-10.95,39.1,72.16,96,44,4.07,moderate rain
167,Lata,PT,40.1629,-8.3327,64.81,42,88,3.09,overcast clouds
168,Gladstone,AU,-23.85,151.25,76.93,83,75,6.91,broken clouds
169,Saskylakh,RU,71.9167,114.0833,-18.44,100,100,2.91,overcast clouds
170,Ahuimanu,US,21.4447,-157.8378,73.11,73,20,1.99,few clouds
171,Upernavik,GL,72.7868,-56.1549,-4.58,74,100,9.86,overcast clouds
172,Castro,BR,-24.7911,-50.0119,64.71,97,100,6.51,overcast clouds
173,Butaritari,KI,3.0707,172.7902,81.7,78,74,21.27,broken clouds
174,Am Timan,TD,11.0297,20.2827,82.26,14,8,4.63,clear sky
175,San Quintin,MX,30.4833,-115.95,60.69,53,0,2.51,clear sky
176,Huittinen,FI,61.1833,22.7,24.42,90,100,12.24,overcast clouds
177,Sur,OM,22.5667,59.5289,72.86,67,1,3.91,clear sky
178,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.64,79,99,3.58,light rain
179,Cabo San Lucas,MX,22.8909,-109.9124,73.51,80,61,1.99,broken clouds
180,Thompson,CA,55.7435,-97.8558,-0.24,78,100,2.3,overcast clouds
181,Lebu,CL,-37.6167,-73.65,63.43,69,65,16.55,broken clouds
182,Mayo,US,38.8876,-76.5119,29.55,45,20,5.99,few clouds
183,Ponta Do Sol,PT,32.6667,-17.1,71.13,34,0,8.01,clear sky
184,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,79,75,6.71,broken clouds
185,Asau,RO,46.4333,26.4,39.4,72,41,19.15,scattered clouds
186,Hamilton,US,39.1834,-84.5333,35.64,58,0,3.0,clear sky
187,Mount Gambier,AU,-37.8333,140.7667,62.51,100,100,6.91,overcast clouds
188,Mehamn,NO,71.0357,27.8492,30.38,69,75,19.57,broken clouds
189,Moron,AR,-34.6534,-58.6198,87.03,48,0,5.01,clear sky
190,Goundi,TD,9.3627,17.366,83.57,12,16,5.21,few clouds
191,Baruun-Urt,MN,46.6806,113.2792,-6.86,97,85,5.64,overcast clouds
192,Hervey Bay,AU,-25.2986,152.8535,73.51,85,79,7.63,broken clouds
193,Kaitangata,NZ,-46.2817,169.8464,53.78,96,53,2.28,broken clouds
194,Port Lincoln,AU,-34.7333,135.8667,66.22,84,0,10.83,clear sky
195,Sinazongwe,ZM,-17.2614,27.4618,74.48,86,100,7.99,overcast clouds
196,Caravelas,BR,-17.7125,-39.2481,87.22,61,87,12.86,overcast clouds
197,Marataizes,BR,-21.0433,-40.8244,80.96,75,70,9.22,broken clouds
198,Northam,GB,51.0333,-4.2167,47.82,89,64,15.08,broken clouds
199,Alpena,US,45.0617,-83.4327,23.11,83,100,1.01,mist
200,Neepawa,CA,50.2289,-99.4664,10.8,90,100,8.48,overcast clouds
201,Nishihara,JP,26.1842,127.7558,58.28,63,75,26.46,broken clouds
202,Salamiyah,SY,35.0113,37.0532,46.69,64,42,8.3,scattered clouds
203,Guaca,CO,6.8762,-72.8559,63.68,57,92,6.04,overcast clouds
204,Richards Bay,ZA,-28.783,32.0377,75.06,74,40,8.77,scattered clouds
205,Livingston,GB,55.9029,-3.5226,41.68,88,100,25.32,overcast clouds
206,Awjilah,LY,29.1081,21.2869,56.39,52,84,19.48,broken clouds
207,Chippewa Falls,US,44.9369,-91.3929,22.59,77,100,6.91,overcast clouds
208,Geraldton,AU,-28.7667,114.6,72.01,88,100,16.11,overcast clouds
209,Beloha,MG,-25.1667,45.05,75.06,67,86,16.2,overcast clouds
210,San Rafael,AR,-34.6177,-68.3301,84.29,28,1,12.88,clear sky
211,Yenagoa,NG,4.9247,6.2642,91.53,20,100,4.72,overcast clouds
212,Yerbogachen,RU,61.2767,108.0108,-6.74,100,98,2.62,overcast clouds
213,Gien,FR,47.6933,2.6309,49.55,70,83,2.62,broken clouds
214,Arman,RU,59.7,150.1667,6.06,79,100,13.35,overcast clouds
215,Alamosa,US,37.4695,-105.87,22.51,78,0,0.0,clear sky
216,Saurimo,AO,-9.6608,20.3916,69.19,86,97,3.44,light rain
217,Pevek,RU,69.7008,170.3133,-11.36,95,100,1.7,overcast clouds
218,Buique,BR,-8.6231,-37.1558,88.11,31,93,12.73,overcast clouds
219,Altos,BR,-5.0381,-42.46,86.31,56,93,1.57,overcast clouds
220,Mandan,US,46.8267,-100.8896,24.98,90,0,3.0,clear sky
221,Lake City,US,30.1897,-82.6393,52.63,22,0,8.05,clear sky
222,Andernach,DE,50.4333,7.4,43.65,71,7,3.71,clear sky
