City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Port Elizabeth,ZA,79.11,few clouds,-33.918,25.5701,39 On Nile Guest House
92,Hobyo,SO,77.38,light rain,5.3505,48.5268,Halane Hotel and Restaurent
99,Arlit,NE,75.11,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
103,Alcantara,BR,88.0,broken clouds,-2.4089,-44.4147,Pousada da Josefa
105,Mapastepec,MX,89.08,clear sky,15.4333,-92.9,Hotel San Carlos
109,Banyo,CM,79.66,overcast clouds,6.75,11.8167,Motel JOMBA
112,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
113,Luanda,AO,80.11,overcast clouds,-8.8368,13.2343,Hotel Fórum
116,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
117,Isangel,VU,77.61,overcast clouds,-19.55,169.2667,Tanna Lodge
119,Ca Mau,VN,75.38,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
126,Tshikapa,CD,75.78,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
128,Eyl,SO,75.76,overcast clouds,7.9803,49.8164,Amiin Hotel
129,Capao Da Canoa,BR,76.01,scattered clouds,-29.7456,-50.0097,Hotel Araçá
136,Samarai,PG,80.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
138,Kerema,PG,76.26,overcast clouds,-7.9631,145.7785,Frena Lodge
140,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
141,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Sabang,ID,81.99,scattered clouds,5.8933,95.3214,Hotel Citra
144,Sambava,MG,79.32,light rain,-14.2667,50.1667,Melrose
146,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
148,Sinnamary,GF,80.78,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
163,Cape Town,ZA,81.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
168,Gladstone,AU,76.93,broken clouds,-23.85,151.25,Highpoint International Hotel
173,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
174,Am Timan,TD,82.26,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
178,Sao Felix Do Xingu,BR,76.64,light rain,-6.6447,-51.995,Rio Xingu Camping
189,Moron,AR,87.03,clear sky,-34.6534,-58.6198,Hotel Morón
196,Caravelas,BR,87.22,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
197,Marataizes,BR,80.96,broken clouds,-21.0433,-40.8244,Ed. Barra Shopping
204,Richards Bay,ZA,75.06,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
210,San Rafael,AR,84.29,clear sky,-34.6177,-68.3301,Hotel San Rafael
218,Buique,BR,88.11,overcast clouds,-8.6231,-37.1558,Pousada Santos
219,Altos,BR,86.31,overcast clouds,-5.0381,-42.46,Pousada Das Aguias
225,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
228,Necochea,AR,76.03,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
230,Pouembout,NC,76.57,overcast clouds,-21.1333,164.9,Camping de Tipenga
239,Bonthe,SL,84.94,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
242,Sibolga,ID,76.62,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
246,Makiwalo,PH,75.25,scattered clouds,12.5101,124.706,MIKOMIKO resort
253,Itarema,BR,77.23,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
258,Meulaboh,ID,78.87,overcast clouds,4.1363,96.1285,Kost Pria
259,Inhambane,MZ,82.38,few clouds,-23.865,35.3833,Oceano
260,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
275,Tual,ID,83.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
277,Hambantota,LK,77.83,few clouds,6.1241,81.1185,Bungalow 63
280,Maragogi,BR,83.41,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
288,Porto Novo,BJ,89.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
289,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
291,Mitsamiouli,KM,86.29,scattered clouds,-11.3847,43.2844,Foyer ADM
